#Drug,Gene
CID000003961,P680
CID000003961,P11255
CID000003964,P1269
CID000003964,P124274
CID000003964,P2849
CID000003964,P2847
CID000003964,P2844
CID000003964,P2845
CID000003964,P2842
CID000003964,P54112
CID000003964,P136
CID000003964,P135
CID000003964,P134
CID000003964,P10692
CID000003964,P9287
CID000003964,P9283
CID000003964,P4985
CID000003964,P4987
CID000003964,P10663
CID000003964,P4988
CID000003964,P27201
CID000003964,P285242
CID000003964,P4889
CID000003964,P221391
CID000003964,P2850
CID000003964,P84539
CID000003964,P84634
CID000003964,P4887
CID000003964,P54329
CID000003964,P54328
CID000003964,P10886
CID000003964,P10887
CID000003964,P729230
CID000003964,P9177
CID000003964,P23566
CID000003964,P10888
CID000003964,P9170
CID000003964,P6010
CID000003964,P56923
CID000003964,P2798
CID000003964,P128674
CID000003964,P10803
CID000003964,P1128
CID000003964,P1129
CID000003964,P319100
CID000003964,P23596
CID000003964,P94233
CID000003964,P3274
CID000003964,P285601
CID000003964,P2827
CID000003964,P53831
CID000003964,P1902
CID000003964,P338557
CID000003964,P1234
CID000003964,P1230
CID000003964,P1813
CID000003964,P1232
CID000003964,P1233
CID000003964,P170572
CID000003964,P1132
CID000003964,P1131
CID000003964,P1238
CID000003964,P2837
CID000003964,P2835
CID000003964,P2834
CID000003964,P2832
CID000003964,P2831
CID000003964,P2830
CID000003964,P344561
CID000003964,P2652
CID000003964,P3354
CID000003964,P5737
CID000003964,P1241
CID000003964,P8811
CID000003964,P3351
CID000003964,P83550
CID000003964,P3350
CID000003964,P623
CID000003964,P2861
CID000003964,P64106
CID000003964,P3352
CID000003964,P339403
CID000003964,P153
CID000003964,P7852
CID000003964,P3269
CID000003964,P83873
CID000003964,P152
CID000003964,P155
CID000003964,P9038
CID000003964,P134864
CID000003964,P64582
CID000003964,P4829
CID000003964,P3359
CID000003964,P5540
CID000003964,P3361
CID000003964,P3362
CID000003964,P3363
CID000003964,P186
CID000003964,P187
CID000003964,P185
CID000003964,P2587
CID000003964,P9293
CID000003964,P5021
CID000003964,P57007
CID000003964,P4986
CID000003964,P118442
CID000003964,P8477
CID000003964,P4157
CID000003964,P84109
CID000003964,P2925
CID000003964,P5956
CID000003964,P6752
CID000003964,P6753
CID000003964,P350383
CID000003964,P6751
CID000003964,P6754
CID000003964,P6755
CID000003964,P2693
CID000003964,P151
CID000003964,P150
CID000003964,P2862
CID000003964,P2863
CID000003964,P887
CID000003964,P886
CID000003964,P554
CID000003964,P4886
CID000003964,P552
CID000003964,P59340
CID000003964,P3062
CID000003964,P3061
CID000003964,P4923
CID000003964,P1816
CID000003964,P5729
CID000003964,P4161
CID000003964,P4160
CID000003964,P11245
CID000003964,P7201
CID000003964,P139760
CID000003964,P146
CID000003964,P147
CID000003964,P134391
CID000003964,P140
CID000003964,P51289
CID000003964,P611
CID000003964,P1133
CID000003964,P148
CID000003964,P3355
CID000003964,P5734
CID000003964,P3357
CID000003964,P3356
CID000003964,P5731
CID000003964,P10316
CID000003964,P5733
CID000003964,P5732
CID000003964,P200909
CID000003964,P5739
CID000003964,P3358
CID000003964,P23620
CID000003964,P5995
CID000003964,P56413
CID000003964,P1812
CID000003964,P6915
CID000003964,P4158
CID000003964,P4159
CID000003964,P11250
CID000003964,P1814
CID000003964,P8484
CID000003964,P81491
CID000003964,P83551
CID000003964,P680
CID000003964,P11255
CID000150311,P29881
CID000150311,P4864
CID000150311,P22937
CID000057469,P51284
CID000057469,P3274
CID000057469,P135
CID000003657,P760
CID000004170,P766
CID000004178,P6326
CID000004178,P3357
CID000004178,P6331
CID000004178,P3757
CID000004171,P1269
CID000004171,P124274
CID000004171,P2849
CID000004171,P2847
CID000004171,P2844
CID000004171,P2845
CID000004171,P2842
CID000004171,P54112
CID000004171,P136
CID000004171,P135
CID000004171,P134
CID000004171,P10692
CID000004171,P9287
CID000004171,P9283
CID000004171,P4985
CID000004171,P4987
CID000004171,P10663
CID000004171,P4988
CID000004171,P27201
CID000004171,P4889
CID000004171,P221391
CID000004171,P2850
CID000004171,P84539
CID000004171,P84634
CID000004171,P4887
CID000004171,P54329
CID000004171,P54328
CID000004171,P10886
CID000004171,P10887
CID000004171,P729230
CID000004171,P23566
CID000004171,P10888
CID000004171,P9170
CID000004171,P6010
CID000004171,P56923
CID000004171,P2798
CID000004171,P128674
CID000004171,P10803
CID000004171,P319100
CID000004171,P23596
CID000004171,P94233
CID000004171,P3274
CID000004171,P285601
CID000004171,P2827
CID000004171,P53831
CID000004171,P1902
CID000004171,P338557
CID000004171,P1234
CID000004171,P1230
CID000004171,P1813
CID000004171,P1232
CID000004171,P1233
CID000004171,P1238
CID000004171,P2837
CID000004171,P2835
CID000004171,P2834
CID000004171,P2832
CID000004171,P2831
CID000004171,P2830
CID000004171,P344561
CID000004171,P2652
CID000004171,P3354
CID000004171,P5737
CID000004171,P1241
CID000004171,P8811
CID000004171,P3351
CID000004171,P83550
CID000004171,P3350
CID000004171,P623
CID000004171,P2861
CID000004171,P64106
CID000004171,P3352
CID000004171,P339403
CID000004171,P153
CID000004171,P7852
CID000004171,P83873
CID000004171,P152
CID000004171,P155
CID000004171,P9038
CID000004171,P134864
CID000004171,P64582
CID000004171,P4829
CID000004171,P5540
CID000004171,P3361
CID000004171,P3362
CID000004171,P3363
CID000004171,P186
CID000004171,P187
CID000004171,P185
CID000004171,P2587
CID000004171,P9293
CID000004171,P5021
CID000004171,P57007
CID000004171,P4986
CID000004171,P118442
CID000004171,P8477
CID000004171,P4157
CID000004171,P84109
CID000004171,P2925
CID000004171,P5956
CID000004171,P6752
CID000004171,P6753
CID000004171,P350383
CID000004171,P6751
CID000004171,P6754
CID000004171,P6755
CID000004171,P2693
CID000004171,P151
CID000004171,P150
CID000004171,P2862
CID000004171,P2863
CID000004171,P887
CID000004171,P886
CID000004171,P554
CID000004171,P4886
CID000004171,P552
CID000004171,P59340
CID000004171,P3062
CID000004171,P3061
CID000004171,P4923
CID000004171,P1816
CID000004171,P5729
CID000004171,P4161
CID000004171,P4160
CID000004171,P11245
CID000004171,P7201
CID000004171,P139760
CID000004171,P1565
CID000004171,P146
CID000004171,P147
CID000004171,P134391
CID000004171,P140
CID000004171,P51289
CID000004171,P611
CID000004171,P148
CID000004171,P3355
CID000004171,P5734
CID000004171,P3357
CID000004171,P3356
CID000004171,P5731
CID000004171,P10316
CID000004171,P5733
CID000004171,P5732
CID000004171,P5739
CID000004171,P3358
CID000004171,P23620
CID000004171,P5995
CID000004171,P56413
CID000004171,P1812
CID000004171,P6915
CID000004171,P4158
CID000004171,P4159
CID000004171,P11250
CID000004171,P1814
CID000004171,P8484
CID000004171,P81491
CID000004171,P83551
CID000004171,P680
CID000004171,P11255
CID000001983,P4282
CID000001983,P723961
CID000001983,P4151
CID000001983,P7018
CID000001983,P766
CID000001983,P4353
CID000001983,P4241
CID000001983,P5743
CID000001983,P5742
CID000001983,P4025
CID000001983,P29994
CID000001983,P7173
CID000001983,P137902
CID000001983,P1387
CID000001983,P8288
CID000001983,P7837
CID000001986,P768
CID000001986,P771
CID000001986,P770
CID000001986,P762
CID000001986,P763
CID000001986,P760
CID000001986,P761
CID000001986,P766
CID000001986,P767
CID000001986,P56934
CID000001986,P377677
CID000001986,P11238
CID000001986,P5793
CID000001986,P5803
CID000001986,P765
CID000001986,P759
CID000002435,P1269
CID000002435,P124274
CID000002435,P2849
CID000002435,P2847
CID000002435,P2844
CID000002435,P2845
CID000002435,P2842
CID000002435,P54112
CID000002435,P136
CID000002435,P135
CID000002435,P134
CID000002435,P10692
CID000002435,P9287
CID000002435,P9283
CID000002435,P4985
CID000002435,P4987
CID000002435,P10663
CID000002435,P4988
CID000002435,P27201
CID000002435,P4889
CID000002435,P221391
CID000002435,P2850
CID000002435,P84539
CID000002435,P84634
CID000002435,P4887
CID000002435,P54329
CID000002435,P54328
CID000002435,P10886
CID000002435,P10887
CID000002435,P729230
CID000002435,P23566
CID000002435,P10888
CID000002435,P9170
CID000002435,P6010
CID000002435,P56923
CID000002435,P2798
CID000002435,P128674
CID000002435,P10803
CID000002435,P319100
CID000002435,P23596
CID000002435,P94233
CID000002435,P3274
CID000002435,P285601
CID000002435,P2827
CID000002435,P53831
CID000002435,P1902
CID000002435,P338557
CID000002435,P1234
CID000002435,P1230
CID000002435,P1813
CID000002435,P1232
CID000002435,P1233
CID000002435,P1238
CID000002435,P2837
CID000002435,P2835
CID000002435,P2834
CID000002435,P2832
CID000002435,P2831
CID000002435,P2830
CID000002435,P344561
CID000002435,P2652
CID000002435,P3354
CID000002435,P5737
CID000002435,P1241
CID000002435,P8811
CID000002435,P3351
CID000002435,P83550
CID000002435,P3350
CID000002435,P623
CID000002435,P2861
CID000002435,P64106
CID000002435,P3352
CID000002435,P339403
CID000002435,P153
CID000002435,P7852
CID000002435,P83873
CID000002435,P152
CID000002435,P155
CID000002435,P9038
CID000002435,P134864
CID000002435,P64582
CID000002435,P4829
CID000002435,P5540
CID000002435,P3361
CID000002435,P3362
CID000002435,P3363
CID000002435,P186
CID000002435,P187
CID000002435,P185
CID000002435,P2587
CID000002435,P9293
CID000002435,P5021
CID000002435,P57007
CID000002435,P4986
CID000002435,P118442
CID000002435,P8477
CID000002435,P4157
CID000002435,P84109
CID000002435,P2925
CID000002435,P5956
CID000002435,P6752
CID000002435,P6753
CID000002435,P350383
CID000002435,P6751
CID000002435,P6754
CID000002435,P6755
CID000002435,P2693
CID000002435,P151
CID000002435,P150
CID000002435,P2862
CID000002435,P2863
CID000002435,P887
CID000002435,P886
CID000002435,P554
CID000002435,P4886
CID000002435,P552
CID000002435,P59340
CID000002435,P3062
CID000002435,P3061
CID000002435,P4923
CID000002435,P1816
CID000002435,P5729
CID000002435,P4161
CID000002435,P4160
CID000002435,P11245
CID000002435,P7201
CID000002435,P139760
CID000002435,P146
CID000002435,P147
CID000002435,P134391
CID000002435,P140
CID000002435,P51289
CID000002435,P611
CID000002435,P148
CID000002435,P3355
CID000002435,P5734
CID000002435,P3357
CID000002435,P3356
CID000002435,P5731
CID000002435,P10316
CID000002435,P5733
CID000002435,P5732
CID000002435,P5739
CID000002435,P3358
CID000002435,P23620
CID000002435,P5995
CID000002435,P56413
CID000002435,P1812
CID000002435,P6915
CID000002435,P4158
CID000002435,P4159
CID000002435,P11250
CID000002435,P1814
CID000002435,P8484
CID000002435,P81491
CID000002435,P83551
CID000002435,P680
CID000002435,P11255
CID000003404,P6536
CID000003404,P55117
CID000003404,P6540
CID000003404,P348932
CID000003404,P54716
CID000003404,P9152
CID000003404,P6533
CID000003404,P28968
CID000003404,P6534
CID000003404,P6535
CID000003404,P6532
CID000003404,P340024
CID000003404,P6530
CID000003404,P6531
CID000003404,P6529
CID000003404,P11254
CID000003404,P388662
CID000003404,P6538
CID000003404,P6539
CID000005593,P1128
CID000005593,P1129
CID000005593,P1557
CID000005593,P1559
CID000005593,P1132
CID000005593,P1131
CID000005593,P1133
CID000005593,P3269
CID000005291,P768
CID000005291,P3716
CID000005291,P762
CID000005291,P763
CID000005291,P760
CID000005291,P761
CID000005291,P766
CID000005291,P767
CID000005291,P660
CID000005291,P6725
CID000005291,P3654
CID000005291,P3656
CID000005291,P23617
CID000005291,P3645
CID000005291,P2322
CID000005291,P2321
CID000005291,P7301
CID000005291,P2324
CID000005291,P4145
CID000005291,P9833
CID000005291,P3791
CID000005291,P51776
CID000005291,P3480
CID000005291,P3718
CID000005291,P5753
CID000005291,P6916
CID000005291,P83942
CID000005291,P2263
CID000005291,P6714
CID000005291,P765
CID000005291,P3643
CID000005291,P6794
CID000005291,P5599
CID000005291,P25
CID000005291,P7525
CID000005291,P9578
CID000005291,P5159
CID000005291,P55244
CID000005291,P6850
CID000005291,P10733
CID000005291,P5157
CID000005291,P5156
CID000005291,P3274
CID000005291,P11035
CID000005291,P53834
CID000005291,P56934
CID000005291,P2268
CID000005291,P81629
CID000005291,P7535
CID000005291,P8737
CID000005291,P23178
CID000005291,P2261
CID000005291,P2264
CID000005291,P6582
CID000005291,P84451
CID000005291,P2444
CID000005291,P3815
CID000005291,P10595
CID000005291,P2932
CID000005291,P2931
CID000005291,P283629
CID000005291,P11213
CID000005291,P197259
CID000005291,P10420
CID000005291,P10221
CID000005291,P1436
CID000005291,P2047
CID000005291,P2044
CID000005291,P2042
CID000005291,P2043
CID000005291,P2041
CID000005291,P4294
CID000005291,P4296
CID000005291,P377677
CID000005291,P5243
CID000005291,P2049
CID000005291,P640
CID000005291,P5979
CID000005291,P167359
CID000005291,P4233
CID000005291,P415116
CID000005291,P11040
CID000005291,P3717
CID000005291,P6532
CID000005291,P7016
CID000005291,P4342
CID000005291,P7010
CID000005291,P2051
CID000005291,P2050
CID000005291,P4067
CID000005291,P51135
CID000005291,P285220
CID000005291,P2046
CID000005291,P284656
CID000005291,P7294
CID000005291,P2580
CID000005291,P759
CID000005291,P11238
CID000005291,P5894
CID000005291,P79837
CID000005291,P1432
CID000005291,P146802
CID000005291,P7006
CID000005291,P57761
CID000005291,P4835
CID000005291,P28951
CID000005291,P5793
CID000005291,P83983
CID000005291,P558
CID000005291,P4293
CID000005291,P5292
CID000005291,P2048
CID000005291,P55872
CID000005291,P30811
CID000005291,P4921
CID000005291,P1969
CID000005291,P7075
CID000005291,P7297
CID000005291,P1195
CID000005291,P4593
CID000005291,P1445
CID000005291,P5803
CID000005291,P57396
CID000005291,P771
CID000005291,P770
CID000005291,P55359
CID000005291,P3356
CID000005291,P54101
CID000005291,P10461
CID000005291,P3702
CID000005291,P3055
CID000005291,P4919
CID000005291,P2081
CID000005291,P8767
CID000005291,P3985
CID000005291,P91461
CID000005291,P1576
CID000005291,P2534
CID000005291,P695
CID000004211,P3362
CID000004211,P6530
CID000004211,P6531
CID000004212,P3717
CID000004212,P3716
CID000004212,P3718
CID000004212,P660
CID000004212,P6725
CID000004212,P3654
CID000004212,P3656
CID000004212,P23617
CID000004212,P6714
CID000004212,P25
CID000004212,P2321
CID000004212,P7301
CID000004212,P2324
CID000004212,P4145
CID000004212,P9833
CID000004212,P3791
CID000004212,P51776
CID000004212,P3480
CID000004212,P5753
CID000004212,P83942
CID000004212,P2263
CID000004212,P3645
CID000004212,P3643
CID000004212,P6794
CID000004212,P7525
CID000004212,P9578
CID000004212,P2064
CID000004212,P5159
CID000004212,P55244
CID000004212,P6850
CID000004212,P5157
CID000004212,P5156
CID000004212,P11035
CID000004212,P53834
CID000004212,P3815
CID000004212,P2268
CID000004212,P81629
CID000004212,P7535
CID000004212,P8737
CID000004212,P23178
CID000004212,P2261
CID000004212,P2264
CID000004212,P2444
CID000004212,P2322
CID000004212,P1132
CID000004212,P84451
CID000004212,P2932
CID000004212,P2931
CID000004212,P283629
CID000004212,P11213
CID000004212,P246
CID000004212,P197259
CID000004212,P10420
CID000004212,P10221
CID000004212,P1436
CID000004212,P2047
CID000004212,P2044
CID000004212,P2042
CID000004212,P2043
CID000004212,P2041
CID000004212,P4294
CID000004212,P4296
CID000004212,P2048
CID000004212,P2049
CID000004212,P640
CID000004212,P5979
CID000004212,P167359
CID000004212,P4233
CID000004212,P415116
CID000004212,P10595
CID000004212,P1128
CID000004212,P1129
CID000004212,P11040
CID000004212,P7016
CID000004212,P4342
CID000004212,P7010
CID000004212,P2051
CID000004212,P2050
CID000004212,P4067
CID000004212,P7155
CID000004212,P51135
CID000004212,P2046
CID000004212,P284656
CID000004212,P7294
CID000004212,P7297
CID000004212,P146802
CID000004212,P7006
CID000004212,P57761
CID000004212,P28951
CID000004212,P83983
CID000004212,P558
CID000004212,P5292
CID000004212,P4293
CID000004212,P55872
CID000004212,P30811
CID000004212,P1969
CID000004212,P7075
CID000004212,P285220
CID000004212,P4593
CID000004212,P1445
CID000004212,P55359
CID000004212,P54101
CID000004212,P10461
CID000004212,P3702
CID000004212,P3055
CID000004212,P4919
CID000004212,P2081
CID000004212,P8767
CID000004212,P3985
CID000004212,P91461
CID000004212,P2534
CID000004212,P695
CID000667490,P7498
CID000667490,P316
CID000667490,P7172
CID000005035,P10062
CID000005035,P150
CID000005035,P152
CID000005035,P7025
CID000005035,P2649
CID000005035,P2908
CID000005035,P5916
CID000005035,P316
CID000005035,P6256
CID000005035,P5337
CID000005035,P6532
CID000005035,P6530
CID000005035,P6531
CID000005035,P5338
CID000005035,P2099
CID000005035,P4306
CID000005035,P1814
CID000005035,P7498
CID000005035,P4988
CID000005035,P1813
CID000005035,P146
CID000005035,P3362
CID000005035,P3358
CID000005035,P9971
CID000005035,P4986
CID000005035,P367
CID000005035,P8431
CID000005035,P2103
CID000005035,P9970
CID000005035,P190
CID000005035,P7101
CID000005035,P3357
CID000005035,P3356
CID000005035,P5465
CID000005035,P7026
CID000005035,P5467
CID000005035,P7181
CID000005035,P10682
CID000005035,P5468
CID000005035,P22949
CID000005035,P7182
CID000005035,P2100
CID000005035,P7068
CID000005035,P1559
CID000005035,P6257
CID000005035,P135
CID000005035,P5241
CID000005035,P7376
CID000005035,P1576
CID000005035,P7067
CID000005035,P6258
CID000005035,P7421
CID000005035,P5915
CID000005035,P5914
CID000005035,P2101
CID000005035,P2063
CID000005035,P3351
CID000005035,P8856
CID000005035,P2104
CID005329102,P2580
CID005329102,P6416
CID005329102,P9201
CID005329102,P147746
CID005329102,P1195
CID005329102,P3717
CID005329102,P8428
CID005329102,P660
CID005329102,P8986
CID005329102,P6725
CID005329102,P5747
CID005329102,P3654
CID005329102,P50488
CID005329102,P3656
CID005329102,P23617
CID005329102,P6714
CID005329102,P1147
CID005329102,P2322
CID005329102,P2321
CID005329102,P7301
CID005329102,P2324
CID005329102,P8445
CID005329102,P9833
CID005329102,P140469
CID005329102,P26576
CID005329102,P3791
CID005329102,P10188
CID005329102,P5588
CID005329102,P818
CID005329102,P8711
CID005329102,P8491
CID005329102,P81629
CID005329102,P83732
CID005329102,P4145
CID005329102,P10746
CID005329102,P29110
CID005329102,P814
CID005329102,P2241
CID005329102,P816
CID005329102,P817
CID005329102,P23604
CID005329102,P11183
CID005329102,P5063
CID005329102,P3480
CID005329102,P3718
CID005329102,P5753
CID005329102,P51347
CID005329102,P5592
CID005329102,P2263
CID005329102,P1859
CID005329102,P10114
CID005329102,P9475
CID005329102,P3643
CID005329102,P9706
CID005329102,P22848
CID005329102,P6011
CID005329102,P4139
CID005329102,P6794
CID005329102,P6795
CID005329102,P6793
CID005329102,P6790
CID005329102,P5260
CID005329102,P5610
CID005329102,P56924
CID005329102,P23683
CID005329102,P4751
CID005329102,P51765
CID005329102,P26524
CID005329102,P5587
CID005329102,P10595
CID005329102,P53944
CID005329102,P65975
CID005329102,P9578
CID005329102,P5159
CID005329102,P9262
CID005329102,P57118
CID005329102,P6850
CID005329102,P23678
CID005329102,P10733
CID005329102,P5157
CID005329102,P5156
CID005329102,P5605
CID005329102,P5604
CID005329102,P5607
CID005329102,P9149
CID005329102,P1454
CID005329102,P2011
CID005329102,P11035
CID005329102,P53834
CID005329102,P22858
CID005329102,P9943
CID005329102,P6789
CID005329102,P6788
CID005329102,P6196
CID005329102,P5562
CID005329102,P5563
CID005329102,P2268
CID005329102,P1457
CID005329102,P7535
CID005329102,P8737
CID005329102,P23178
CID005329102,P1017
CID005329102,P80122
CID005329102,P9113
CID005329102,P2264
CID005329102,P4215
CID005329102,P84451
CID005329102,P1452
CID005329102,P2444
CID005329102,P3815
CID005329102,P2932
CID005329102,P7525
CID005329102,P9252
CID005329102,P4140
CID005329102,P2931
CID005329102,P283629
CID005329102,P11213
CID005329102,P5585
CID005329102,P197259
CID005329102,P7786
CID005329102,P10420
CID005329102,P5127
CID005329102,P10221
CID005329102,P2081
CID005329102,P1436
CID005329102,P2047
CID005329102,P2044
CID005329102,P22983
CID005329102,P2042
CID005329102,P2043
CID005329102,P8899
CID005329102,P2041
CID005329102,P4294
CID005329102,P695
CID005329102,P2048
CID005329102,P4058
CID005329102,P640
CID005329102,P5979
CID005329102,P5871
CID005329102,P2261
CID005329102,P4233
CID005329102,P6197
CID005329102,P55589
CID005329102,P415116
CID005329102,P131890
CID005329102,P9263
CID005329102,P3645
CID005329102,P11040
CID005329102,P3757
CID005329102,P2049
CID005329102,P9212
CID005329102,P6093
CID005329102,P7016
CID005329102,P9874
CID005329102,P4638
CID005329102,P4342
CID005329102,P7010
CID005329102,P2051
CID005329102,P2050
CID005329102,P25989
CID005329102,P4067
CID005329102,P11011
CID005329102,P6198
CID005329102,P51776
CID005329102,P5261
CID005329102,P51135
CID005329102,P285220
CID005329102,P25865
CID005329102,P2046
CID005329102,P57551
CID005329102,P284656
CID005329102,P7294
CID005329102,P91807
CID005329102,P7297
CID005329102,P3716
CID005329102,P8576
CID005329102,P2185
CID005329102,P1020
CID005329102,P9024
CID005329102,P120892
CID005329102,P84446
CID005329102,P23235
CID005329102,P55781
CID005329102,P7006
CID005329102,P28996
CID005329102,P1021
CID005329102,P57761
CID005329102,P1022
CID005329102,P57144
CID005329102,P815
CID005329102,P83903
CID005329102,P388228
CID005329102,P28951
CID005329102,P1455
CID005329102,P1456
CID005329102,P57172
CID005329102,P83983
CID005329102,P1453
CID005329102,P10494
CID005329102,P27330
CID005329102,P1459
CID005329102,P4296
CID005329102,P558
CID005329102,P5292
CID005329102,P57787
CID005329102,P8408
CID005329102,P11184
CID005329102,P238
CID005329102,P4293
CID005329102,P55872
CID005329102,P81788
CID005329102,P11329
CID005329102,P30811
CID005329102,P659
CID005329102,P25
CID005329102,P55359
CID005329102,P85443
CID005329102,P1969
CID005329102,P7075
CID005329102,P340156
CID005329102,P1612
CID005329102,P1613
CID005329102,P1196
CID005329102,P1111
CID005329102,P4593
CID005329102,P1445
CID005329102,P167359
CID005329102,P9891
CID005329102,P57396
CID005329102,P85366
CID005329102,P27347
CID005329102,P9448
CID005329102,P8396
CID005329102,P7272
CID005329102,P6732
CID005329102,P6733
CID005329102,P54101
CID005329102,P204851
CID005329102,P10461
CID005329102,P3702
CID005329102,P3055
CID005329102,P122011
CID005329102,P54861
CID005329102,P84254
CID005329102,P4919
CID005329102,P4916
CID005329102,P255239
CID005329102,P4915
CID005329102,P8767
CID005329102,P83942
CID005329102,P3985
CID005329102,P91461
CID005329102,P2534
CID000003121,P2147
CID000002585,P1269
CID000002585,P124274
CID000002585,P2849
CID000002585,P2847
CID000002585,P2844
CID000002585,P2845
CID000002585,P2842
CID000002585,P54112
CID000002585,P136
CID000002585,P135
CID000002585,P134
CID000002585,P10692
CID000002585,P9287
CID000002585,P9283
CID000002585,P4985
CID000002585,P4987
CID000002585,P10663
CID000002585,P4988
CID000002585,P27201
CID000002585,P4889
CID000002585,P221391
CID000002585,P2850
CID000002585,P84539
CID000002585,P84634
CID000002585,P4887
CID000002585,P54329
CID000002585,P54328
CID000002585,P10886
CID000002585,P10887
CID000002585,P729230
CID000002585,P23566
CID000002585,P10888
CID000002585,P9170
CID000002585,P6010
CID000002585,P56923
CID000002585,P2798
CID000002585,P128674
CID000002585,P10803
CID000002585,P319100
CID000002585,P23596
CID000002585,P94233
CID000002585,P3274
CID000002585,P285601
CID000002585,P2827
CID000002585,P53831
CID000002585,P1902
CID000002585,P338557
CID000002585,P1234
CID000002585,P1230
CID000002585,P1813
CID000002585,P1232
CID000002585,P1233
CID000002585,P1238
CID000002585,P2837
CID000002585,P2835
CID000002585,P2834
CID000002585,P2832
CID000002585,P2831
CID000002585,P2830
CID000002585,P344561
CID000002585,P2652
CID000002585,P5734
CID000002585,P5737
CID000002585,P5243
CID000002585,P1241
CID000002585,P8811
CID000002585,P3351
CID000002585,P83550
CID000002585,P3350
CID000002585,P623
CID000002585,P2861
CID000002585,P64106
CID000002585,P3352
CID000002585,P339403
CID000002585,P153
CID000002585,P3757
CID000002585,P7852
CID000002585,P83873
CID000002585,P152
CID000002585,P6532
CID000002585,P6530
CID000002585,P6531
CID000002585,P155
CID000002585,P9038
CID000002585,P134864
CID000002585,P64582
CID000002585,P4829
CID000002585,P5540
CID000002585,P3361
CID000002585,P3362
CID000002585,P3363
CID000002585,P186
CID000002585,P187
CID000002585,P185
CID000002585,P2587
CID000002585,P9293
CID000002585,P5021
CID000002585,P57007
CID000002585,P4986
CID000002585,P118442
CID000002585,P8477
CID000002585,P4157
CID000002585,P84109
CID000002585,P2925
CID000002585,P5956
CID000002585,P6752
CID000002585,P6753
CID000002585,P350383
CID000002585,P6751
CID000002585,P6754
CID000002585,P6755
CID000002585,P2693
CID000002585,P151
CID000002585,P150
CID000002585,P2862
CID000002585,P2863
CID000002585,P887
CID000002585,P886
CID000002585,P554
CID000002585,P4886
CID000002585,P552
CID000002585,P59340
CID000002585,P3062
CID000002585,P3061
CID000002585,P4923
CID000002585,P1816
CID000002585,P5729
CID000002585,P4161
CID000002585,P4160
CID000002585,P11245
CID000002585,P7201
CID000002585,P139760
CID000002585,P146
CID000002585,P147
CID000002585,P134391
CID000002585,P140
CID000002585,P51289
CID000002585,P611
CID000002585,P148
CID000002585,P3355
CID000002585,P3354
CID000002585,P3357
CID000002585,P3356
CID000002585,P5731
CID000002585,P10316
CID000002585,P5733
CID000002585,P5732
CID000002585,P5739
CID000002585,P3358
CID000002585,P23620
CID000002585,P5995
CID000002585,P56413
CID000002585,P1812
CID000002585,P6915
CID000002585,P4158
CID000002585,P4159
CID000002585,P11250
CID000002585,P1814
CID000002585,P8484
CID000002585,P81491
CID000002585,P83551
CID000002585,P680
CID000002585,P11255
CID000002519,P5837
CID000002519,P5834
CID000002519,P5016
CID000002519,P140
CID000002519,P1116
CID000002519,P3757
CID000002519,P136
CID000002519,P135
CID000002519,P134
CID000002519,P1117
CID000002519,P27159
CID000003639,P759
CID000003639,P760
CID000003715,P1269
CID000003715,P124274
CID000003715,P2849
CID000003715,P2847
CID000003715,P2844
CID000003715,P2845
CID000003715,P2842
CID000003715,P5742
CID000003715,P4025
CID000003715,P54112
CID000003715,P136
CID000003715,P135
CID000003715,P134
CID000003715,P10692
CID000003715,P2652
CID000003715,P9287
CID000003715,P9283
CID000003715,P4985
CID000003715,P4987
CID000003715,P4986
CID000003715,P4988
CID000003715,P27201
CID000003715,P4889
CID000003715,P221391
CID000003715,P2850
CID000003715,P84539
CID000003715,P84634
CID000003715,P4887
CID000003715,P54329
CID000003715,P54328
CID000003715,P10886
CID000003715,P10887
CID000003715,P729230
CID000003715,P6718
CID000003715,P5468
CID000003715,P23566
CID000003715,P10888
CID000003715,P9170
CID000003715,P6010
CID000003715,P3248
CID000003715,P56923
CID000003715,P2798
CID000003715,P5743
CID000003715,P128674
CID000003715,P5730
CID000003715,P10803
CID000003715,P319100
CID000003715,P23596
CID000003715,P10327
CID000003715,P94233
CID000003715,P3274
CID000003715,P285601
CID000003715,P2827
CID000003715,P53831
CID000003715,P1902
CID000003715,P338557
CID000003715,P367
CID000003715,P1234
CID000003715,P1230
CID000003715,P1813
CID000003715,P1232
CID000003715,P1233
CID000003715,P1238
CID000003715,P247
CID000003715,P246
CID000003715,P240
CID000003715,P242
CID000003715,P2837
CID000003715,P2835
CID000003715,P2834
CID000003715,P2832
CID000003715,P8288
CID000003715,P2830
CID000003715,P2831
CID000003715,P344561
CID000003715,P7276
CID000003715,P3354
CID000003715,P5737
CID000003715,P1241
CID000003715,P8811
CID000003715,P3351
CID000003715,P441282
CID000003715,P83550
CID000003715,P83551
CID000003715,P623
CID000003715,P2861
CID000003715,P64106
CID000003715,P3352
CID000003715,P339403
CID000003715,P153
CID000003715,P7852
CID000003715,P83873
CID000003715,P152
CID000003715,P118442
CID000003715,P7018
CID000003715,P145482
CID000003715,P155
CID000003715,P9038
CID000003715,P134864
CID000003715,P64582
CID000003715,P4829
CID000003715,P5540
CID000003715,P3361
CID000003715,P3362
CID000003715,P3363
CID000003715,P57016
CID000003715,P186
CID000003715,P187
CID000003715,P185
CID000003715,P4353
